BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DML30HSD_DW4.xlsx,,,,,,,,,,,,,,,,,,,,,,
#,R: ,2.362,,W: ,Force,,,,,,,,,,,,,,,,,,,,êÿ,í‚,CB
78,883.5299217,3534.119687,5890.199478,7951.769296,10013.33911,11780.39896,-477.4904268,3129.618015,5216.030025,7041.640533,8867.251042,10432.06005,883.5299217,3534.119687,5890.199478,7951.769296,10013.33911,11780.39896,-477.4904268,3129.618015,5216.030025,7041.640533,8867.251042,10432.06005,-1591.634756,-3183.269512,-4897.337711
79,873.591058,3494.364232,5823.940387,7862.319522,9900.698657,11647.88077,-479.2642246,3145.579901,5242.633168,7077.554777,8912.476386,10485.26634,873.591058,3494.364232,5823.940387,7862.319522,9900.698657,11647.88077,-479.2642246,3145.579901,5242.633168,7077.554777,8912.476386,10485.26634,-1597.547415,-3195.09483,-4915.530508
80,853.8722968,3415.489187,5692.481979,7684.850671,9677.219364,11384.96396,-482.9814533,3174.914876,5291.524793,7143.55847,8995.592148,10583.04959,853.8722968,3415.489187,5692.481979,7684.850671,9677.219364,11384.96396,-482.9814533,3174.914876,5291.524793,7143.55847,8995.592148,10583.04959,-1609.938178,-3219.876356,-4953.655932
81,844.0921461,3376.368585,5627.280974,7596.829315,9566.377656,11254.56195,-484.9280839,3188.298494,5313.830824,7173.671612,9033.5124,10627.66165,844.0921461,3376.368585,5627.280974,7596.829315,9566.377656,11254.56195,-484.9280839,3188.298494,5313.830824,7173.671612,9033.5124,10627.66165,-1616.426946,-3232.853892,-4973.621373
82,824.6889425,3298.75577,5497.926284,7422.200483,9346.474682,10995.85257,-489.0052032,3212.534807,5354.224678,7228.203316,9102.181953,10708.44936,824.6889425,3298.75577,5497.926284,7422.200483,9346.474682,10995.85257,-489.0052032,3212.534807,5354.224678,7228.203316,9102.181953,10708.44936,-1630.017344,-3260.034688,-5015.437982
83,815.0650232,3260.260093,5433.766821,7335.585208,9237.403596,10867.53364,-491.1387534,3223.406321,5372.343868,7252.664222,9132.984575,10744.68774,815.0650232,3260.260093,5433.766821,7335.585208,9237.403596,10867.53364,-491.1387534,3223.406321,5372.343868,7252.664222,9132.984575,10744.68774,-1637.129178,-3274.258356,-5037.320547
84,794.5103593,3178.041437,5296.735729,7150.593234,9004.450739,10593.47146,-495.6033152,3242.713014,5404.52169,7296.104282,9187.686873,10809.04338,794.5103593,3178.041437,5296.735729,7150.593234,9004.450739,10593.47146,-495.6033152,3242.713014,5404.52169,7296.104282,9187.686873,10809.04338,-1652.011051,-3304.022101,-5083.110925
85,785.0545051,3140.21802,5233.696701,7065.490546,8897.284391,10467.3934,-497.93725,3251.174802,5418.62467,7315.143305,9211.66194,10837.24934,785.0545051,3140.21802,5233.696701,7065.490546,8897.284391,10467.3934,-497.93725,3251.174802,5418.62467,7315.143305,9211.66194,10837.24934,-1659.790833,-3319.581667,-5107.048718
86,766.2865469,3065.146188,5108.57698,6896.578922,8684.580865,10217.15396,-502.8155625,3265.790932,5442.984886,7348.029596,9253.074306,10885.96977,766.2865469,3065.146188,5108.57698,6896.578922,8684.580865,10217.15396,-502.8155625,3265.790932,5442.984886,7348.029596,9253.074306,10885.96977,-1676.051875,-3352.10375,-5157.082693
87,747.7017288,2990.806915,4984.678192,6729.31556,8473.952927,9969.356385,-507.9837105,3277.444856,5462.408093,7374.250925,9286.093758,10924.81619,747.7017288,2990.806915,4984.678192,6729.31556,8473.952927,9969.356385,-507.9837105,3277.444856,5462.408093,7374.250925,9286.093758,10924.81619,-1693.279035,-3386.55807,-5210.089338
88,738.4741865,2953.896746,4923.161243,6646.267679,8369.374114,9846.322487,-510.6798531,3282.207967,5470.346612,7384.967927,9299.589241,10940.69322,738.4741865,2953.896746,4923.161243,6646.267679,8369.374114,9846.322487,-510.6798531,3282.207967,5470.346612,7384.967927,9299.589241,10940.69322,-1702.266177,-3404.532354,-5237.742084
89,718.6849675,2874.73987,4791.233117,6468.164707,8145.096298,9582.466233,-516.3028353,3289.709305,5482.848841,7401.845936,9320.84303,10965.69768,718.6849675,2874.73987,4791.233117,6468.164707,8145.096298,9582.466233,-516.3028353,3289.709305,5482.848841,7401.845936,9320.84303,10965.69768,-1721.009451,-3442.018902,-5295.413695
90,709.5921853,2838.368741,4730.614569,6386.329668,8042.044767,9461.229137,-519.2322294,3292.49145,5487.48575,7408.105763,9328.725776,10974.9715,709.5921853,2838.368741,4730.614569,6386.329668,8042.044767,9461.229137,-519.2322294,3292.49145,5487.48575,7408.105763,9328.725776,10974.9715,-1730.774098,-3461.548196,-5325.458764
91,691.5065014,2766.026006,4610.043343,6223.558513,7837.073683,9220.086686,-525.3330378,3296.23482,5493.724699,7416.528344,9339.331989,10987.4494,691.5065014,2766.026006,4610.043343,6223.558513,7837.073683,9220.086686,-525.3330378,3296.23482,5493.724699,7416.528344,9339.331989,10987.4494,-1751.110126,-3502.220252,-5388.031157
92,682.5081635,2730.032654,4550.054423,6142.573471,7735.092519,9100.108846,-528.5068685,3297.244778,5495.407963,7418.80075,9342.193537,10990.81593,682.5081635,2730.032654,4550.054423,6142.573471,7735.092519,9100.108846,-528.5068685,3297.244778,5495.407963,7418.80075,9342.193537,10990.81593,-1761.689562,-3523.379123,-5420.583267
93,664.5852503,2658.341001,4430.568336,5981.267253,7531.96617,8861.136671,-535.1072514,3297.668038,5496.113397,7419.753086,9343.392774,10992.22679,664.5852503,2658.341001,4430.568336,5981.267253,7531.96617,8861.136671,-535.1072514,3297.668038,5496.113397,7419.753086,9343.392774,10992.22679,-1783.690838,-3567.381676,-5488.279501
94,655.6538842,2622.615537,4371.025895,5900.884958,7430.744021,8742.05179,-538.5360819,3297.133767,5495.222944,7418.550975,9341.879005,10990.44589,655.6538842,2622.615537,4371.025895,5900.884958,7430.744021,8742.05179,-538.5360819,3297.133767,5495.222944,7418.550975,9341.879005,10990.44589,-1795.120273,-3590.240546,-5523.446994
95,636.4070354,2545.628142,4242.713569,5727.663319,7212.613068,8485.427139,-545.6565441,3294.707918,5491.179864,7413.092816,9335.005768,10982.35973,636.4070354,2545.628142,4242.713569,5727.663319,7212.613068,8485.427139,-545.6565441,3294.707918,5491.179864,7413.092816,9335.005768,10982.35973,-1818.855147,-3637.710294,-5596.477375
96,627.5286601,2510.114641,4183.524401,5647.757941,7111.991482,8367.048802,-549.3503158,3292.871204,5488.118674,7408.96021,9329.801746,10976.23735,627.5286601,2510.114641,4183.524401,5647.757941,7111.991482,8367.048802,-549.3503158,3292.871204,5488.118674,7408.96021,9329.801746,10976.23735,-1831.167719,-3662.335439,-5634.362214
97,609.7740462,2439.096185,4065.160308,5487.966416,6910.772524,8130.320616,-557.0101184,3288.089091,5480.148484,7398.200454,9316.252423,10960.29697,609.7740462,2439.096185,4065.160308,5487.966416,6910.772524,8130.320616,-557.0101184,3288.089091,5480.148484,7398.200454,9316.252423,10960.29697,-1856.700395,-3713.400789,-5712.924291
98,600.8879303,2403.551721,4005.919535,5407.991373,6810.06321,8011.839071,-560.9781511,3285.199602,5475.33267,7391.699105,9308.065539,10950.66534,600.8879303,2403.551721,4005.919535,5407.991373,6810.06321,8011.839071,-560.9781511,3285.199602,5475.33267,7391.699105,9308.065539,10950.66534,-1869.92717,-3739.854341,-5753.622063
99,583.0712395,2332.284958,3887.141597,5247.641156,6608.140715,7774.283194,-569.1953116,3278.563412,5464.272354,7376.767678,9289.263002,10928.54471,583.0712395,2332.284958,3887.141597,5247.641156,6608.140715,7774.283194,-569.1953116,3278.563412,5464.272354,7376.767678,9289.263002,10928.54471,-1897.317705,-3794.635411,-5837.900632
100,574.1290383,2296.516153,3827.526922,5167.161345,6506.795768,7655.053844,-573.4463031,3274.872149,5458.120249,7368.462336,9278.804423,10916.2405,574.1290383,2296.516153,3827.526922,5167.161345,6506.795768,7655.053844,-573.4463031,3274.872149,5458.120249,7368.462336,9278.804423,10916.2405,-1911.487677,-3822.975354,-5881.500545
101,554.7662679,2219.065072,3698.441786,4992.896411,6287.351037,7396.883572,-582.2375954,3266.879723,5444.799538,7350.479376,9256.159214,10889.59908,554.7662679,2219.065072,3698.441786,4992.896411,6287.351037,7396.883572,-582.2375954,3266.879723,5444.799538,7350.479376,9256.159214,10889.59908,-1940.791985,-3881.583969,-5971.667645
102,545.7339273,2182.935709,3638.226182,4911.605346,6184.98451,7276.452364,-586.7796217,3262.631869,5437.719782,7340.921706,9244.123629,10875.43956,545.7339273,2182.935709,3638.226182,4911.605346,6184.98451,7276.452364,-586.7796217,3262.631869,5437.719782,7340.921706,9244.123629,10875.43956,-1955.932072,-3911.864145,-6018.252531
103,527.507306,2110.029224,3516.715373,4747.565754,5978.416135,7033.430747,-596.1605761,3253.7618,5422.936334,7320.964051,9218.991768,10845.87267,527.507306,2110.029224,3516.715373,4747.565754,5978.416135,7033.430747,-596.1605761,3253.7618,5422.936334,7320.964051,9218.991768,10845.87267,-1987.20192,-3974.403841,-6114.467447
104,509.0125916,2036.050366,3393.417277,4581.113324,5768.809371,6786.834554,-605.9426523,3244.555769,5407.592949,7300.250481,9192.908013,10815.1859,509.0125916,2036.050366,3393.417277,4581.113324,5768.809371,6786.834554,-605.9426523,3244.555769,5407.592949,7300.250481,9192.908013,10815.1859,-2019.808841,-4039.617682,-6214.796434
105,499.6438153,1998.575261,3330.958769,4496.794338,5662.629907,6661.917537,-610.9859946,3239.884522,5399.807536,7289.740174,9179.672812,10799.61507,499.6438153,1998.575261,3330.958769,4496.794338,5662.629907,6661.917537,-610.9859946,3239.884522,5399.807536,7289.740174,9179.672812,10799.61507,-2036.619982,-4073.239964,-6266.523022
106,480.6184805,1922.473922,3204.123203,4325.566325,5447.009446,6408.246407,-621.3808532,3230.511483,5384.185806,7268.650838,9153.11587,10768.37161,480.6184805,1922.473922,3204.123203,4325.566325,5447.009446,6408.246407,-621.3808532,3230.511483,5384.185806,7268.650838,9153.11587,10768.37161,-2071.269511,-4142.539021,-6373.136956
107,470.9428223,1883.771289,3139.618815,4238.485401,5337.351986,6279.237631,-626.7337265,3225.848222,5376.413703,7258.158499,9139.903295,10752.82741,470.9428223,1883.771289,3139.618815,4238.485401,5337.351986,6279.237631,-626.7337265,3225.848222,5376.413703,7258.158499,9139.903295,10752.82741,-2089.112422,-4178.224843,-6428.038221
108,449.9704516,1799.881806,2999.80301,4049.734064,5099.665118,5999.606021,-637.7535814,3216.653512,5361.089186,7237.470401,9113.851617,10722.17837,449.9704516,1799.881806,2999.80301,4049.734064,5099.665118,5999.606021,-637.7535814,3216.653512,5361.089186,7237.470401,9113.851617,10722.17837,-2125.845271,-4251.690542,-6541.062373
109,439.9245214,1759.698085,2932.830142,3959.320692,4985.811242,5865.660285,-643.4217818,3212.151256,5353.585426,7227.340325,9101.095225,10707.17085,439.9245214,1759.698085,2932.830142,3959.320692,4985.811242,5865.660285,-643.4217818,3212.151256,5353.585426,7227.340325,9101.095225,10707.17085,-2144.739273,-4289.478545,-6599.197762
110,419.3578515,1677.431406,2795.71901,3774.220664,4752.722317,5591.43802,-655.0776033,3203.396091,5338.993485,7207.641204,9076.288924,10677.98697,419.3578515,1677.431406,2795.71901,3774.220664,4752.722317,5591.43802,-655.0776033,3203.396091,5338.993485,7207.641204,9076.288924,10677.98697,-2183.592011,-4367.184022,-6718.744649
111,408.8132838,1635.253135,2725.421892,3679.319554,4633.217216,5450.843783,-661.0663051,3199.160761,5331.934602,7198.111713,9064.288824,10663.8692,408.8132838,1635.253135,2725.421892,3679.319554,4633.217216,5450.843783,-661.0663051,3199.160761,5331.934602,7198.111713,9064.288824,10663.8692,-2203.55435,-4407.108701,-6780.167232
112,387.1389392,1548.555757,2580.926261,3484.250453,4387.574644,5161.852523,-673.3678201,3191.001751,5318.336251,7179.753939,9041.171627,10636.6725,387.1389392,1548.555757,2580.926261,3484.250453,4387.574644,5161.852523,-673.3678201,3191.001751,5318.336251,7179.753939,9041.171627,10636.6725,-2244.5594,-4489.118801,-6906.336616
113,375.9827698,1503.931079,2506.551798,3383.844928,4261.138057,5013.103597,-679.6815758,3187.081625,5311.802709,7170.933657,9030.064605,10623.60542,375.9827698,1503.931079,2506.551798,3383.844928,4261.138057,5013.103597,-679.6815758,3187.081625,5311.802709,7170.933657,9030.064605,10623.60542,-2265.605253,-4531.210505,-6971.093085
114,352.9631436,1411.852575,2353.087624,3176.668293,4000.248961,4706.175249,-692.6372673,3179.549079,5299.248466,7153.985429,9008.722392,10598.49693,352.9631436,1411.852575,2353.087624,3176.668293,4000.248961,4706.175249,-692.6372673,3179.549079,5299.248466,7153.985429,9008.722392,10598.49693,-2308.790891,-4617.581782,-7103.971972
115,341.0706202,1364.282481,2273.804135,3069.635582,3865.467029,4547.60827,-699.2800075,3175.923649,5293.206081,7145.828209,8998.450337,10586.41216,341.0706202,1364.282481,2273.804135,3069.635582,3865.467029,4547.60827,-699.2800075,3175.923649,5293.206081,7145.828209,8998.450337,10586.41216,-2330.933358,-4661.866717,-7172.102641
116,316.4440425,1265.77617,2109.62695,2847.996383,3586.365816,4219.253901,-712.8971152,3168.898692,5281.49782,7130.022058,8978.546295,10562.99564,316.4440425,1265.77617,2109.62695,2847.996383,3586.365816,4219.253901,-712.8971152,3168.898692,5281.49782,7130.022058,8978.546295,10562.99564,-2376.323717,-4752.647435,-7311.765284
117,302.7454729,1210.981892,2018.303153,2724.709256,3431.115359,4036.606305,-719.8721488,3165.466914,5275.77819,7122.300557,8968.822923,10551.55638,302.7454729,1210.981892,2018.303153,2724.709256,3431.115359,4036.606305,-719.8721488,3165.466914,5275.77819,7122.300557,8968.822923,10551.55638,-2399.573829,-4799.147659,-7383.304091
118,276.3067247,1105.226899,1842.044831,2486.760522,3131.476213,3684.089663,-734.1566685,3158.657399,5264.428998,7106.979148,8949.529297,10528.858,276.3067247,1105.226899,1842.044831,2486.760522,3131.476213,3684.089663,-734.1566685,3158.657399,5264.428998,7106.979148,8949.529297,10528.858,-2447.188895,-4894.37779,-7529.811985
119,262.5600543,1050.240217,1750.400362,2363.040489,2975.680616,3500.800724,-741.4666826,3155.225357,5258.708929,7099.257054,8939.805179,10517.41786,262.5600543,1050.240217,1750.400362,2363.040489,2975.680616,3500.800724,-741.4666826,3155.225357,5258.708929,7099.257054,8939.805179,10517.41786,-2471.555609,-4943.111217,-7604.786488
120,233.9219146,935.6876584,1559.479431,2105.297231,2651.115032,3118.958861,-756.4233667,3148.140576,5246.900959,7083.316295,8919.731631,10493.80192,233.9219146,935.6876584,1559.479431,2105.297231,2651.115032,3118.958861,-756.4233667,3148.140576,5246.900959,7083.316295,8919.731631,10493.80192,-2521.411222,-5042.822444,-7758.188376
121,218.992874,875.971496,1459.952493,1970.935866,2481.919239,2919.904987,-764.0704265,3144.408536,5240.680893,7074.919206,8909.157518,10481.36179,218.992874,875.971496,1459.952493,1970.935866,2481.919239,2919.904987,-764.0704265,3144.408536,5240.680893,7074.919206,8909.157518,10481.36179,-2546.901422,-5093.802843,-7836.619759
122,187.8171465,751.2685862,1252.11431,1690.354319,2128.594327,2504.228621,-779.7027836,3136.332735,5227.221226,7056.748655,8886.276084,10454.44245,187.8171465,751.2685862,1252.11431,1690.354319,2128.594327,2504.228621,-779.7027836,3136.332735,5227.221226,7056.748655,8886.276084,10454.44245,-2599.009279,-5198.018557,-7996.951626
123,154.7483296,618.9933185,1031.655531,1392.734967,1753.814402,2063.311062,-795.7869245,3127.074986,5211.791644,7035.918719,8860.045795,10423.58329,154.7483296,618.9933185,1031.655531,1392.734967,1753.814402,2063.311062,-795.7869245,3127.074986,5211.791644,7035.918719,8860.045795,10423.58329,-2652.623082,-5305.246163,-8161.917175
124,137.4509888,549.8039551,916.3399252,1237.058899,1557.777873,1832.67985,-803.9986278,3121.846303,5203.077171,7024.154181,8845.231191,10406.15434,137.4509888,549.8039551,916.3399252,1237.058899,1557.777873,1832.67985,-803.9986278,3121.846303,5203.077171,7024.154181,8845.231191,10406.15434,-2679.995426,-5359.990852,-8246.139772
125,101.2198193,404.8792774,674.7987956,910.9783741,1147.157953,1349.597591,-820.761526,3109.828781,5183.047968,6997.114757,8811.181545,10366.09594,101.2198193,404.8792774,674.7987956,910.9783741,1147.157953,1349.597591,-820.761526,3109.828781,5183.047968,6997.114757,8811.181545,10366.09594,-2735.871753,-5471.743507,-8418.066934
126,82.24015619,328.9606248,548.2677079,740.1614057,932.0551035,1096.535416,-829.3127424,3102.878589,5171.464314,6981.476824,8791.489334,10342.92863,82.24015619,328.9606248,548.2677079,740.1614057,932.0551035,1096.535416,-829.3127424,3102.878589,5171.464314,6981.476824,8791.489334,10342.92863,-2764.375808,-5528.751616,-8505.771717
127,42.43408555,169.7363422,282.8939037,381.9067699,480.9196362,565.7878073,-846.7545904,3086.646821,5144.411368,6944.955347,8745.499326,10288.82274,42.43408555,169.7363422,282.8939037,381.9067699,480.9196362,565.7878073,-846.7545904,3086.646821,5144.411368,6944.955347,8745.499326,10288.82274,-2822.515301,-5645.030602,-8684.662465
128,21.55863077,86.23452308,143.7242051,194.0276769,244.3311487,287.4484103,-855.6451051,3077.166966,5128.611611,6923.625675,8718.639738,10257.22322,21.55863077,86.23452308,143.7242051,194.0276769,244.3311487,287.4484103,-855.6451051,3077.166966,5128.611611,6923.625675,8718.639738,10257.22322,-2852.15035,-5704.300701,-8775.847232
129,0,0,0,0,0,0,-873.7648516,3054.934066,5091.556776,6873.601648,8655.64652,10183.11355,0,0,0,0,0,0,-873.7648516,3054.934066,5091.556776,6873.601648,8655.64652,10183.11355,-2912.549505,-5825.099011,-8961.690785
130,0,0,0,0,0,0,-882.9938283,3041.942251,5069.903752,6844.370065,8618.836378,10139.8075,0,0,0,0,0,0,-882.9938283,3041.942251,5069.903752,6844.370065,8618.836378,10139.8075,-2943.312761,-5886.625522,-9056.346957
131,0,0,0,0,0,0,-901.7891784,3011.556835,5019.261392,6776.002879,8532.744366,10038.52278,0,0,0,0,0,0,-901.7891784,3011.556835,5019.261392,6776.002879,8532.744366,10038.52278,-3005.963928,-6011.927856,-9249.119778
132,0,0,0,0,0,0,-911.3551586,2993.880278,4989.800463,6736.230625,8482.660787,9979.600926,0,0,0,0,0,0,-911.3551586,2993.880278,4989.800463,6736.230625,8482.660787,9979.600926,-3037.850529,-6075.701058,-9347.232396
133,0,0,0,0,0,0,-930.822574,2952.793189,4921.321982,6643.784676,8366.24737,9842.643964,0,0,0,0,0,0,-930.822574,2952.793189,4921.321982,6643.784676,8366.24737,9842.643964,-3102.741913,-6205.483826,-9546.898195
134,0,0,0,0,0,0,-940.7234777,2929.051684,4881.752806,6590.366288,8298.979771,9763.505613,0,0,0,0,0,0,-940.7234777,2929.051684,4881.752806,6590.366288,8298.979771,9763.505613,-3135.744926,-6271.489851,-9648.445925
135,0,0,0,0,0,0,-960.8581762,2874.281513,4790.469188,6467.133404,8143.797619,9580.938376,0,0,0,0,0,0,-960.8581762,2874.281513,4790.469188,6467.133404,8143.797619,9580.938376,-3202.860587,-6405.721175,-9854.955653
136,0,0,0,0,0,0,-971.0913015,2842.869891,4738.116484,6396.457254,8054.798023,9476.232969,0,0,0,0,0,0,-971.0913015,2842.869891,4738.116484,6396.457254,8054.798023,9476.232969,-3236.971005,-6473.94201,-9959.910784
137,0,0,0,0,0,0,-991.8872575,2770.967297,4618.278828,6234.676418,7851.074008,9236.557656,0,0,0,0,0,0,-991.8872575,2770.967297,4618.278828,6234.676418,7851.074008,9236.557656,-3306.290858,-6612.581717,-10173.20264
138,0,0,0,0,0,0,-1002.449281,2730.037289,4550.062148,6142.5839,7735.105652,9100.124297,0,0,0,0,0,0,-1002.449281,2730.037289,4550.062148,6142.5839,7735.105652,9100.124297,-3341.497602,-6682.995204,-10281.53108
139,0,0,0,0,0,0,-1023.899225,2637.048126,4395.08021,5933.358284,7471.636357,8790.16042,0,0,0,0,0,0,-1023.899225,2637.048126,4395.08021,5933.358284,7471.636357,8790.16042,-3412.997416,-6825.994832,-10501.53051
140,0,0,0,0,0,0,-1045.780509,2527.538015,4212.563359,5686.960535,7161.35771,8425.126718,0,0,0,0,0,0,-1045.780509,2527.538015,4212.563359,5686.960535,7161.35771,8425.126718,-3485.935029,-6971.870058,-10725.95393
141,0,0,0,0,0,0,-1056.88162,2465.916864,4109.861439,5548.312943,6986.764447,8219.722879,0,0,0,0,0,0,-1056.88162,2465.916864,4109.861439,5548.312943,6986.764447,8219.722879,-3522.938733,-7045.877465,-10839.81148
142,0,0,0,0,0,0,-1079.402013,2327.50419,3879.17365,5236.884427,6594.595205,7758.3473,0,0,0,0,0,0,-1079.402013,2327.50419,3879.17365,5236.884427,6594.595205,7758.3473,-3598.006709,-7196.013419,-11070.78987
143,0,0,0,0,0,0,-1090.820118,2250.103041,3750.171735,5062.731842,6375.291949,7500.34347,0,0,0,0,0,0,-1090.820118,2250.103041,3750.171735,5062.731842,6375.291949,7500.34347,-3636.067062,-7272.134123,-11187.89865
144,0,0,0,0,0,0,-1113.969035,2077.298105,3462.163508,4673.920735,5885.677963,6924.327015,0,0,0,0,0,0,-1113.969035,2077.298105,3462.163508,4673.920735,5885.677963,6924.327015,-3713.230117,-7426.460234,-11425.32344
145,0,0,0,0,0,0,-1125.698532,1981.212447,3302.020745,4457.728006,5613.435267,6604.04149,0,0,0,0,0,0,-1125.698532,1981.212447,3302.020745,4457.728006,5613.435267,6604.04149,-3752.328439,-7504.656878,-11545.62597
146,0,0,0,0,0,0,-1149.464143,1767.875271,2946.458785,3977.71936,5008.979935,5892.91757,0,0,0,0,0,0,-1149.464143,1767.875271,2946.458785,3977.71936,5008.979935,5892.91757,-3831.547143,-7663.094285,-11789.37582
147,0,0,0,0,0,0,-1161.498805,1649.86492,2749.774867,3712.19607,4674.617274,5499.549734,0,0,0,0,0,0,-1161.498805,1649.86492,2749.774867,3712.19607,4674.617274,5499.549734,-3871.662682,-7743.325365,-11912.80825
148,0,0,0,0,0,0,-1185.868037,1389.162778,2315.271297,3125.616251,3935.961205,4630.542594,0,0,0,0,0,0,-1185.868037,1389.162778,2315.271297,3125.616251,3935.961205,4630.542594,-3952.893458,-7905.786916,-12162.7491
149,0,0,0,0,0,0,-1198.201017,1245.63034,2076.050567,2802.668266,3529.285964,4152.101134,0,0,0,0,0,0,-1198.201017,1245.63034,2076.050567,2802.668266,3529.285964,4152.101134,-3994.003392,-7988.006783,-12289.24121
150,0,0,0,0,0,0,-1223.159555,929.9940868,1549.990145,2092.486695,2634.983246,3099.980289,0,0,0,0,0,0,-1223.159555,929.9940868,1549.990145,2092.486695,2634.983246,3099.980289,-4077.198518,-8154.397036,-12545.22621
151,0,0,0,0,0,0,-1235.783384,756.9628243,1261.604707,1703.166355,2144.728002,2523.209414,0,0,0,0,0,0,-1235.783384,756.9628243,1261.604707,1703.166355,2144.728002,2523.209414,-4119.277948,-8238.555896,-12674.70138
152,0,0,0,0,0,0,-1261.315668,378.0420247,630.0700412,850.5945556,1071.11907,1260.140082,0,0,0,0,0,0,-1261.315668,378.0420247,630.0700412,850.5945556,1071.11907,1260.140082,-4204.385559,-8408.771117,-12936.57095
153,0,0,0,0,0,0,-1274.222255,171.1331219,285.2218698,385.0495242,484.8771786,570.4437395,0,0,0,0,0,0,-1274.222255,171.1331219,285.2218698,385.0495242,484.8771786,570.4437395,-4247.407516,-8494.815031,-13068.9462
154,0,0,0,0,0,0,-1300.311479,0,0,0,0,0,0,0,0,0,0,0,-1300.311479,0,0,0,0,0,-4334.371598,-8668.743196,-13336.52799
155,0,0,0,0,0,0,-1313.492112,0,0,0,0,0,0,0,0,0,0,0,-1313.492112,0,0,0,0,0,-4378.307039,-8756.614079,-13471.71397
156,0,0,0,0,0,0,-1340.120231,0,0,0,0,0,0,0,0,0,0,0,-1340.120231,0,0,0,0,0,-4467.067436,-8934.134872,-13744.82288
157,0,0,0,0,0,0,-1367.096972,0,0,0,0,0,0,0,0,0,0,0,-1367.096972,0,0,0,0,0,-4556.989908,-9113.979816,-14021.50741
158,0,0,0,0,0,0,-1380.713297,0,0,0,0,0,0,0,0,0,0,0,-1380.713297,0,0,0,0,0,-4602.377655,-9204.75531,-14161.16202
159,0,0,0,0,0,0,-1408.19609,0,0,0,0,0,0,0,0,0,0,0,-1408.19609,0,0,0,0,0,-4693.986967,-9387.973934,-14443.03682
160,0,0,0,0,0,0,-1422.060186,0,0,0,0,0,0,0,0,0,0,0,-1422.060186,0,0,0,0,0,-4740.200619,-9480.401238,-14585.23267
