BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DML30HSD_DW4.xlsx,,,,,,,,,,,,,,,,,,,,,,
#,R: ,2.362,,W: ,Current,,,,,,,,,,,,,,,,,,,,êÿ,í‚,CB
82,1.984891518,7.939566072,13.23261012,17.86402366,22.4954372,26.46522024,1.176955613,7.732046303,12.88674384,17.39710418,21.90746453,25.77348768,1.984891518,7.939566072,13.23261012,17.86402366,22.4954372,26.46522024,1.176955613,7.732046303,12.88674384,17.39710418,21.90746453,25.77348768,3.923185377,7.846370755,12.07133962
83,1.961728317,7.846913267,13.07818878,17.65555485,22.23292092,26.15637756,1.18209072,7.75821226,12.93035377,17.45597759,21.9816014,25.86070753,1.961728317,7.846913267,13.07818878,17.65555485,22.23292092,26.15637756,1.18209072,7.75821226,12.93035377,17.45597759,21.9816014,25.86070753,3.940302399,7.880604799,12.12400738
84,1.9122566,7.649026399,12.74837733,17.2103094,21.67224146,25.49675466,1.192836191,7.804680316,13.00780053,17.56053071,22.1132609,26.01560105,1.9122566,7.649026399,12.74837733,17.2103094,21.67224146,25.49675466,1.192836191,7.804680316,13.00780053,17.56053071,22.1132609,26.01560105,3.976120635,7.95224127,12.23421734
85,1.889497904,7.557991616,12.59665269,17.00548114,21.41430958,25.19330539,1.19845359,7.825046457,13.0417441,17.60635453,22.17096496,26.08348819,1.889497904,7.557991616,12.59665269,17.00548114,21.41430958,25.19330539,1.19845359,7.825046457,13.0417441,17.60635453,22.17096496,26.08348819,3.994845301,7.989690601,12.29183169
86,1.844326496,7.377305982,12.29550997,16.59893846,20.90236695,24.59101994,1.210194891,7.860225092,13.10037515,17.68550646,22.27063776,26.20075031,1.844326496,7.377305982,12.29550997,16.59893846,20.90236695,24.59101994,1.210194891,7.860225092,13.10037515,17.68550646,22.27063776,26.20075031,4.033982971,8.067965942,12.4122553
87,1.799595875,7.198383502,11.99730584,16.19636288,20.39541992,23.99461167,1.222633779,7.888274183,13.14712364,17.74861691,22.35011019,26.29424728,1.799595875,7.198383502,11.99730584,16.19636288,20.39541992,23.99461167,1.222633779,7.888274183,13.14712364,17.74861691,22.35011019,26.29424728,4.075445929,8.150891859,12.53983363
88,1.777386689,7.109546756,11.84924459,15.9964802,20.14371581,23.69848919,1.229122954,7.899738215,13.16623036,17.77441098,22.38259161,26.33246072,1.777386689,7.109546756,11.84924459,15.9964802,20.14371581,23.69848919,1.229122954,7.899738215,13.16623036,17.77441098,22.38259161,26.33246072,4.097076512,8.194153024,12.60638927
89,1.729757273,6.919029091,11.53171515,15.56781545,19.60391576,23.0634303,1.242656553,7.917792708,13.19632118,17.81503359,22.43374601,26.39264236,1.729757273,6.919029091,11.53171515,15.56781545,19.60391576,23.0634303,1.242656553,7.917792708,13.19632118,17.81503359,22.43374601,26.39264236,4.142188509,8.284377019,12.74519541
90,1.707872432,6.831489727,11.38581621,15.37085189,19.35588756,22.77163242,1.249707126,7.924488877,13.20748146,17.83009997,22.45271849,26.41496292,1.707872432,6.831489727,11.38581621,15.37085189,19.35588756,22.77163242,1.249707126,7.924488877,13.20748146,17.83009997,22.45271849,26.41496292,4.165690419,8.331380839,12.81750898
91,1.664343146,6.657372585,11.09562097,14.97908832,18.86255566,22.19124195,1.264390775,7.933498556,13.22249759,17.85037175,22.47824591,26.44499519,1.664343146,6.657372585,11.09562097,14.97908832,18.86255566,22.19124195,1.264390775,7.933498556,13.22249759,17.85037175,22.47824591,26.44499519,4.214635915,8.42927183,12.96811051
92,1.642685617,6.570742469,10.95123745,14.78417055,18.61710366,21.9024749,1.272029666,7.93592936,13.22654893,17.85584106,22.48513319,26.45309787,1.642685617,6.570742469,10.95123745,14.78417055,18.61710366,21.9024749,1.272029666,7.93592936,13.22654893,17.85584106,22.48513319,26.45309787,4.240098888,8.480197776,13.04645812
93,1.599548094,6.398192377,10.66365396,14.39593285,18.12821173,21.32730792,1.287915709,7.936948078,13.2282468,17.85813318,22.48801956,26.45649359,1.599548094,6.398192377,10.66365396,14.39593285,18.12821173,21.32730792,1.287915709,7.936948078,13.2282468,17.85813318,22.48801956,26.45649359,4.293052365,8.586104729,13.20939189
94,1.578051755,6.312207022,10.52034504,14.2024658,17.88458656,21.04069007,1.296168344,7.935662174,13.22610362,17.85523989,22.48437616,26.45220725,1.578051755,6.312207022,10.52034504,14.2024658,17.88458656,21.04069007,1.296168344,7.935662174,13.22610362,17.85523989,22.48437616,26.45220725,4.320561147,8.641122294,13.2940343
95,1.531727736,6.126910943,10.21151824,13.78554962,17.359581,20.42303648,1.313306133,7.929823554,13.21637259,17.842103,22.4678334,26.43274518,1.531727736,6.126910943,10.21151824,13.78554962,17.359581,20.42303648,1.313306133,7.929823554,13.21637259,17.842103,22.4678334,26.43274518,4.37768711,8.75537422,13.46980649
96,1.510358937,6.041435749,10.06905958,13.59323043,17.11740129,20.13811916,1.322196438,7.925402884,13.20900481,17.83215649,22.45530817,26.41800961,1.510358937,6.041435749,10.06905958,13.59323043,17.11740129,20.13811916,1.322196438,7.925402884,13.20900481,17.83215649,22.45530817,26.41800961,4.40732146,8.81464292,13.56098911
97,1.467626483,5.870505931,9.784176552,13.20863835,16.63310014,19.5683531,1.340632331,7.913893117,13.18982186,17.80625951,22.42269717,26.37964372,1.467626483,5.870505931,9.784176552,13.20863835,16.63310014,19.5683531,1.340632331,7.913893117,13.18982186,17.80625951,22.42269717,26.37964372,4.468774437,8.937548874,13.75007519
98,1.446239054,5.784956216,9.641593693,13.01615149,16.39070928,19.28318739,1.350182737,7.906938591,13.17823098,17.79061183,22.40299267,26.35646197,1.446239054,5.784956216,9.641593693,13.01615149,16.39070928,19.28318739,1.350182737,7.906938591,13.17823098,17.79061183,22.40299267,26.35646197,4.500609125,9.001218249,13.84802808
99,1.403357191,5.613428763,9.355714605,12.63021472,15.90471483,18.71142921,1.3699601,7.890966366,13.15161061,17.75467432,22.35773804,26.30322122,1.403357191,5.613428763,9.355714605,12.63021472,15.90471483,18.71142921,1.3699601,7.890966366,13.15161061,17.75467432,22.35773804,26.30322122,4.566533666,9.133067332,14.05087282
100,1.381834774,5.527339095,9.212231825,12.43651296,15.6607941,18.42446365,1.380191542,7.882082099,13.1368035,17.73468472,22.33256595,26.273607,1.381834774,5.527339095,9.212231825,12.43651296,15.6607941,18.42446365,1.380191542,7.882082099,13.1368035,17.73468472,22.33256595,26.273607,4.600638472,9.201276945,14.15581068
101,1.33523175,5.340926999,8.901544998,12.01708575,15.1326265,17.80309,1.401350746,7.862845635,13.10474272,17.69140268,22.27806263,26.20948545,1.33523175,5.340926999,8.901544998,12.01708575,15.1326265,17.80309,1.401350746,7.862845635,13.10474272,17.69140268,22.27806263,26.20948545,4.671169152,9.342338304,14.37282816
102,1.313492382,5.253969527,8.756615879,11.82143144,14.88624699,17.51323176,1.412282661,7.852621745,13.08770291,17.66839893,22.24909494,26.17540582,1.313492382,5.253969527,8.756615879,11.82143144,14.88624699,17.51323176,1.412282661,7.852621745,13.08770291,17.66839893,22.24909494,26.17540582,4.707608869,9.415217738,14.48495037
103,1.269623883,5.078495531,8.464159219,11.42661495,14.38907067,16.92831844,1.434861085,7.831272939,13.05212157,17.62036411,22.18860666,26.10424313,1.269623883,5.078495531,8.464159219,11.42661495,14.38907067,16.92831844,1.434861085,7.831272939,13.05212157,17.62036411,22.18860666,26.10424313,4.782870283,9.565740566,14.71652395
104,1.225110127,4.90044051,8.16740085,11.02599115,13.88458144,16.3348017,1.458404944,7.809115527,13.01519254,17.57050994,22.12582733,26.03038509,1.225110127,4.90044051,8.16740085,11.02599115,13.88458144,16.3348017,1.458404944,7.809115527,13.01519254,17.57050994,22.12582733,26.03038509,4.861349813,9.722699626,14.95799942
105,1.202561014,4.810244056,8.017073427,10.82304913,13.62902483,16.03414685,1.470543445,7.797872597,12.99645433,17.54521334,22.09397236,25.99290866,1.202561014,4.810244056,8.017073427,10.82304913,13.62902483,16.03414685,1.470543445,7.797872597,12.99645433,17.54521334,22.09397236,25.99290866,4.901811482,9.803622964,15.08249687
106,1.156770142,4.627080569,7.711800948,10.41093128,13.11006161,15.4236019,1.49556217,7.775313226,12.95885538,17.49445476,22.03005414,25.91771075,1.156770142,4.627080569,7.711800948,10.41093128,13.11006161,15.4236019,1.49556217,7.775313226,12.95885538,17.49445476,22.03005414,25.91771075,4.985207235,9.97041447,15.33909918
107,1.133482414,4.533929656,7.556549427,10.20134173,12.84613403,15.11309885,1.508445662,7.764089517,12.9401492,17.46920141,21.99825363,25.88029839,1.133482414,4.533929656,7.556549427,10.20134173,12.84613403,15.11309885,1.508445662,7.764089517,12.9401492,17.46920141,21.99825363,25.88029839,5.028152206,10.05630441,15.47123756
108,1.083005345,4.33202138,7.220035633,9.747048104,12.27406058,14.44007127,1.534968652,7.741959352,12.90326559,17.41940854,21.9355515,25.80653117,1.083005345,4.33202138,7.220035633,9.747048104,12.27406058,14.44007127,1.534968652,7.741959352,12.90326559,17.41940854,21.9355515,25.80653117,5.116562172,10.23312434,15.74326822
109,1.058826433,4.23530573,7.058842883,9.529437893,12.0000329,14.11768577,1.548611084,7.731123158,12.88520526,17.39502711,21.90484895,25.77041053,1.058826433,4.23530573,7.058842883,9.529437893,12.0000329,14.11768577,1.548611084,7.731123158,12.88520526,17.39502711,21.90484895,25.77041053,5.162036946,10.32407389,15.8831906
110,1.009325819,4.037303277,6.728838794,9.083932373,11.43902595,13.45767759,1.576664741,7.710050907,12.85008484,17.34761454,21.84514424,25.70016969,1.009325819,4.037303277,6.728838794,9.083932373,11.43902595,13.45767759,1.576664741,7.710050907,12.85008484,17.34761454,21.84514424,25.70016969,5.255549138,10.51109828,16.17092043
111,0.983946768,3.935787071,6.559645118,8.855520909,11.1513967,13.11929024,1.591078568,7.699857161,12.83309527,17.32467861,21.81626196,25.66619054,0.983946768,3.935787071,6.559645118,8.855520909,11.1513967,13.11929024,1.591078568,7.699857161,12.83309527,17.32467861,21.81626196,25.66619054,5.303595227,10.60719045,16.31875454
112,0.931780162,3.727120649,6.211867748,8.38602146,10.56017517,12.4237355,1.620686304,7.680219755,12.80036626,17.28049445,21.76062264,25.60073252,0.931780162,3.727120649,6.211867748,8.38602146,10.56017517,12.4237355,1.620686304,7.680219755,12.80036626,17.28049445,21.76062264,25.60073252,5.402287681,10.80457536,16.62242363
113,0.904929086,3.619716342,6.03286057,8.14436177,10.25586297,12.06572114,1.635882483,7.670784655,12.78464109,17.25926547,21.73388985,25.56928218,0.904929086,3.619716342,6.03286057,8.14436177,10.25586297,12.06572114,1.635882483,7.670784655,12.78464109,17.25926547,21.73388985,25.56928218,5.452941609,10.90588322,16.77828187
114,0.849524607,3.398098429,5.663497381,7.645721465,9.627945548,11.32699476,1.667064715,7.652655047,12.75442508,17.21847386,21.68252263,25.50885016,0.849524607,3.398098429,5.663497381,7.645721465,9.627945548,11.32699476,1.667064715,7.652655047,12.75442508,17.21847386,21.68252263,25.50885016,5.556882383,11.11376477,17.09809964
115,0.820901247,3.283604987,5.472674978,7.38811122,9.303547463,10.94534996,1.683052705,7.643929228,12.73988205,17.19884076,21.65779948,25.47976409,0.820901247,3.283604987,5.472674978,7.38811122,9.303547463,10.94534996,1.683052705,7.643929228,12.73988205,17.19884076,21.65779948,25.47976409,5.610175684,11.22035137,17.26207903
116,0.761629099,3.046516394,5.077527324,6.854661888,8.631796451,10.15505465,1.715826858,7.627021306,12.71170218,17.16079794,21.6098937,25.42340435,0.761629099,3.046516394,5.077527324,6.854661888,8.631796451,10.15505465,1.715826858,7.627021306,12.71170218,17.16079794,21.6098937,25.42340435,5.71942286,11.43884572,17.59822418
117,0.72865888,2.91463552,4.857725867,6.55792992,8.258133973,9.715451733,1.732614624,7.618761577,12.69793596,17.14221355,21.58649113,25.39587192,0.72865888,2.91463552,4.857725867,6.55792992,8.258133973,9.715451733,1.732614624,7.618761577,12.69793596,17.14221355,21.58649113,25.39587192,5.77538208,11.55076416,17.7704064
118,0.665025134,2.660100534,4.433500891,5.985226202,7.536951514,8.867001781,1.766995129,7.602372187,12.67062031,17.10533742,21.54005453,25.34124062,0.665025134,2.660100534,4.433500891,5.985226202,7.536951514,8.867001781,1.766995129,7.602372187,12.67062031,17.10533742,21.54005453,25.34124062,5.889983762,11.77996752,18.12302696
119,0.631939144,2.527756578,4.21292763,5.6874523,7.16197697,8.425855259,1.784589138,7.594111823,12.65685304,17.0867516,21.51665016,25.31370608,0.631939144,2.527756578,4.21292763,5.6874523,7.16197697,8.425855259,1.784589138,7.594111823,12.65685304,17.0867516,21.51665016,25.31370608,5.94863046,11.89726092,18.30347834
120,0.563011822,2.252047288,3.753412147,5.067106398,6.38080065,7.506824294,1.820587432,7.577059911,12.62843319,17.0483848,21.46833642,25.25686637,0.563011822,2.252047288,3.753412147,5.067106398,6.38080065,7.506824294,1.820587432,7.577059911,12.62843319,17.0483848,21.46833642,25.25686637,6.068624775,12.13724955,18.67269161
121,0.527080061,2.108320244,3.513867073,4.743720548,5.973574024,7.027734146,1.838992656,7.568077501,12.6134625,17.02817438,21.44288625,25.226925,0.527080061,2.108320244,3.513867073,4.743720548,5.973574024,7.027734146,1.838992656,7.568077501,12.6134625,17.02817438,21.44288625,25.226925,6.129975519,12.25995104,18.86146314
122,0.45204518,1.808180718,3.01363453,4.068406616,5.123178701,6.02726906,1.876617185,7.548640369,12.58106728,16.98444083,21.38781438,25.16213456,0.45204518,1.808180718,3.01363453,4.068406616,5.123178701,6.02726906,1.876617185,7.548640369,12.58106728,16.98444083,21.38781438,25.16213456,6.255390616,12.51078123,19.24735574
123,0.372453941,1.489815765,2.483026274,3.35208547,4.221144666,4.966052549,1.915329084,7.526358481,12.5439308,16.93430658,21.32468236,25.0878616,0.372453941,1.489815765,2.483026274,3.35208547,4.221144666,4.966052549,1.915329084,7.526358481,12.5439308,16.93430658,21.32468236,25.0878616,6.384430279,12.76886056,19.64440086
124,0.330822068,1.323288274,2.205480456,2.977398616,3.749316775,4.410960912,1.935093311,7.513773893,12.52295649,16.90599126,21.28902603,25.04591298,0.330822068,1.323288274,2.205480456,2.977398616,3.749316775,4.410960912,1.935093311,7.513773893,12.52295649,16.90599126,21.28902603,25.04591298,6.450311038,12.90062208,19.84711089
125,0.243619564,0.974478257,1.624130429,2.192576079,2.761021729,3.248260857,1.975438868,7.484849682,12.47474947,16.84091178,21.2070741,24.94949894,0.243619564,0.974478257,1.624130429,2.192576079,2.761021729,3.248260857,1.975438868,7.484849682,12.47474947,16.84091178,21.2070741,24.94949894,6.584796227,13.16959245,20.26091147
126,0.197938617,0.791754467,1.319590778,1.78144755,2.243304322,2.639181555,1.996020249,7.468121705,12.44686951,16.80327384,21.15967816,24.89373902,0.197938617,0.791754467,1.319590778,1.78144755,2.243304322,2.639181555,1.996020249,7.468121705,12.44686951,16.80327384,21.15967816,24.89373902,6.653400829,13.30680166,20.47200255
127,0.10213191,0.408527638,0.680879397,0.919187186,1.157494975,1.361758794,2.037999926,7.429054493,12.38175749,16.71537261,21.04898773,24.76351498,0.10213191,0.408527638,0.680879397,0.919187186,1.157494975,1.361758794,2.037999926,7.429054493,12.38175749,16.71537261,21.04898773,24.76351498,6.793333088,13.58666618,20.90256335
128,0.051888101,0.207552405,0.345920675,0.466992911,0.588065148,0.69184135,2.059397943,7.406238032,12.34373005,16.66403557,20.98434109,24.68746011,0.051888101,0.207552405,0.345920675,0.466992911,0.588065148,0.69184135,2.059397943,7.406238032,12.34373005,16.66403557,20.98434109,24.68746011,6.864659809,13.72931962,21.12203018
129,0,0,0,0,0,0,2.103009211,7.352727074,12.25454512,16.54363592,20.83272671,24.50909025,0,0,0,0,0,0,2.103009211,7.352727074,12.25454512,16.54363592,20.83272671,24.50909025,7.010030704,14.02006141,21.56932524
130,0,0,0,0,0,0,2.12522185,7.321457899,12.20242983,16.47328027,20.74413071,24.40485966,0,0,0,0,0,0,2.12522185,7.321457899,12.20242983,16.47328027,20.74413071,24.40485966,7.084072833,14.16814567,21.79714718
131,0,0,0,0,0,0,2.170459186,7.248325168,12.08054195,16.30873163,20.53692131,24.16108389,0,0,0,0,0,0,2.170459186,7.248325168,12.08054195,16.30873163,20.53692131,24.16108389,7.234863954,14.46972791,22.26111986
132,0,0,0,0,0,0,2.193482938,7.205780583,12.00963431,16.21300631,20.41637832,24.01926861,0,0,0,0,0,0,2.193482938,7.205780583,12.00963431,16.21300631,20.41637832,24.01926861,7.311609792,14.62321958,22.4972609
133,0,0,0,0,0,0,2.240337825,7.106890675,11.84481779,15.99050402,20.13619025,23.68963558,0,0,0,0,0,0,2.240337825,7.106890675,11.84481779,15.99050402,20.13619025,23.68963558,7.46779275,14.9355855,22.97782385
134,0,0,0,0,0,0,2.264167682,7.049748751,11.74958125,15.86193469,19.97428813,23.4991625,0,0,0,0,0,0,2.264167682,7.049748751,11.74958125,15.86193469,19.97428813,23.4991625,7.547225608,15.09445122,23.22223264
135,0,0,0,0,0,0,2.312628611,6.9179259,11.5298765,15.56533327,19.60079005,23.059753,0,0,0,0,0,0,2.312628611,6.9179259,11.5298765,15.56533327,19.60079005,23.059753,7.708762038,15.41752408,23.71926781
136,0,0,0,0,0,0,2.337258072,6.842323258,11.4038721,15.39522733,19.38658257,22.80774419,0,0,0,0,0,0,2.337258072,6.842323258,11.4038721,15.39522733,19.38658257,22.80774419,7.790860238,15.58172048,23.97187766
137,0,0,0,0,0,0,2.387310539,6.669265465,11.11544244,15.0058473,18.89625215,22.23088488,0,0,0,0,0,0,2.387310539,6.669265465,11.11544244,15.0058473,18.89625215,22.23088488,7.957701798,15.9154036,24.4852363
138,0,0,0,0,0,0,2.412731603,6.570753625,10.95125604,14.78419566,18.61713527,21.90251208,0,0,0,0,0,0,2.412731603,6.570753625,10.95125604,14.78419566,18.61713527,21.90251208,8.042438676,16.08487735,24.74596516
139,0,0,0,0,0,0,2.464358113,6.346943906,10.57823984,14.28062379,17.98300773,21.15647969,0,0,0,0,0,0,2.464358113,6.346943906,10.57823984,14.28062379,17.98300773,21.15647969,8.214527045,16.42905409,25.27546783
140,0,0,0,0,0,0,2.517022788,6.083370965,10.13895161,13.68758467,17.23621773,20.27790322,0,0,0,0,0,0,2.517022788,6.083370965,10.13895161,13.68758467,17.23621773,20.27790322,8.390075959,16.78015192,25.81561834
141,0,0,0,0,0,0,2.543741348,5.935058922,9.891764871,13.35388258,16.81600028,19.78352974,0,0,0,0,0,0,2.543741348,5.935058922,9.891764871,13.35388258,16.81600028,19.78352974,8.479137827,16.95827565,26.08965485
142,0,0,0,0,0,0,2.597944254,5.601922235,9.336537059,12.60432503,15.872113,18.67307412,0,0,0,0,0,0,2.597944254,5.601922235,9.336537059,12.60432503,15.872113,18.67307412,8.65981418,17.31962836,26.64558209
143,0,0,0,0,0,0,2.625425769,5.415630318,9.026050531,12.18516822,15.3442859,18.05210106,0,0,0,0,0,0,2.625425769,5.415630318,9.026050531,12.18516822,15.3442859,18.05210106,8.751419228,17.50283846,26.92744378
144,0,0,0,0,0,0,2.681141428,4.999717076,8.332861793,11.24936342,14.16586505,16.66572359,0,0,0,0,0,0,2.681141428,4.999717076,8.332861793,11.24936342,14.16586505,16.66572359,8.937138093,17.87427619,27.49888644
145,0,0,0,0,0,0,2.709372409,4.7684546,7.947424333,10.72902285,13.51062137,15.89484867,0,0,0,0,0,0,2.709372409,4.7684546,7.947424333,10.72902285,13.51062137,15.89484867,9.031241365,18.06248273,27.78843497
146,0,0,0,0,0,0,2.766572352,4.25498688,7.091644799,9.573720479,12.05579616,14.1832896,0,0,0,0,0,0,2.766572352,4.25498688,7.091644799,9.573720479,12.05579616,14.1832896,9.221907839,18.44381568,28.37510104
147,0,0,0,0,0,0,2.795537816,3.97095525,6.618258749,8.934649312,11.25103987,13.2365175,0,0,0,0,0,0,2.795537816,3.97095525,6.618258749,8.934649312,11.25103987,13.2365175,9.318459388,18.63691878,28.67218273
148,0,0,0,0,0,0,2.854190577,3.343487797,5.572479661,7.522847542,9.473215424,11.14495932,0,0,0,0,0,0,2.854190577,3.343487797,5.572479661,7.522847542,9.473215424,11.14495932,9.513968591,19.02793718,29.27374951
149,0,0,0,0,0,0,2.883874045,2.998028674,4.996714457,6.745564516,8.494414576,9.993428913,0,0,0,0,0,0,2.883874045,2.998028674,4.996714457,6.745564516,8.494414576,9.993428913,9.612913483,19.22582697,29.57819533
150,0,0,0,0,0,0,2.943945167,2.238343792,3.730572986,5.036273531,6.341974076,7.461145972,0,0,0,0,0,0,2.943945167,2.238343792,3.730572986,5.036273531,6.341974076,7.461145972,9.813150557,19.62630111,30.1943094
151,0,0,0,0,0,0,2.97432866,1.821885819,3.036476365,4.099243092,5.16200982,6.07295273,0,0,0,0,0,0,2.97432866,1.821885819,3.036476365,4.099243092,5.16200982,6.07295273,9.914428868,19.82885774,30.50593498
152,0,0,0,0,0,0,3.035780694,0.909885376,1.516475626,2.047242095,2.578008564,3.032951252,0,0,0,0,0,0,3.035780694,0.909885376,1.516475626,2.047242095,2.578008564,3.032951252,10.11926898,20.23853796,31.13621224
153,0,0,0,0,0,0,3.06684474,0.411889459,0.686482431,0.926751282,1.167020133,1.372964862,0,0,0,0,0,0,3.06684474,0.411889459,0.686482431,0.926751282,1.167020133,1.372964862,10.2228158,20.4456316,31.45481784
154,0,0,0,0,0,0,3.12963724,0,0,0,0,0,0,0,0,0,0,0,3.12963724,0,0,0,0,0,10.43212413,20.86424827,32.09884349
155,0,0,0,0,0,0,3.161360868,0,0,0,0,0,0,0,0,0,0,0,3.161360868,0,0,0,0,0,10.53786956,21.07573912,32.42421403
156,0,0,0,0,0,0,3.2254504,0,0,0,0,0,0,0,0,0,0,0,3.2254504,0,0,0,0,0,10.75150133,21.50300266,33.08154256
157,0,0,0,0,0,0,3.290379008,0,0,0,0,0,0,0,0,0,0,0,3.290379008,0,0,0,0,0,10.96793003,21.93586005,33.74747701
158,0,0,0,0,0,0,3.323151275,0,0,0,0,0,0,0,0,0,0,0,3.323151275,0,0,0,0,0,11.07717092,22.15434183,34.08360282
159,0,0,0,0,0,0,3.389297868,0,0,0,0,0,0,0,0,0,0,0,3.389297868,0,0,0,0,0,11.29765956,22.59531912,34.76202942
160,0,0,0,0,0,0,3.422666481,0,0,0,0,0,0,0,0,0,0,0,3.422666481,0,0,0,0,0,11.40888827,22.81777654,35.1042716
