BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,タイマOFF,,,,,,,,,,タイマON,,,,,,,,,,,
#,変,変,変,変,変,直1,直1,直1,直1,直1,変,変,変,変,変,直1,直1,直1,直1,直1,B1,B2
98,363.1235605,544.6853408,635.4662309,817.0280112,907.8089013,1804.646082,2706.969123,3158.130644,4060.453685,4511.615205,471.3936888,707.0905333,824.9389555,1060.6358,1178.484222,2324.545364,3486.818046,4067.954387,5230.227069,5811.36341,-2614.012343,-3398.216046
99,266.0321813,399.0482719,465.5563172,598.5724079,665.0804532,1778.76056,2668.14084,3112.830979,4002.211259,4446.901399,345.3532211,518.0298317,604.3681369,777.0447475,863.3830528,2297.917233,3446.875849,4021.355157,5170.313773,5744.793082,-2668.512962,-3469.066851
100,161.8043578,242.7065367,283.1576261,364.059805,404.5108944,1746.795114,2620.192671,3056.891449,3930.289006,4366.987785,210.4152801,315.6229201,368.2267401,473.4343802,526.0382002,2263.810178,3395.715267,3961.667811,5093.5729,5659.525445,-2724.485391,-3541.831009
101,55.33901708,83.00852563,96.8432799,124.5127884,138.3475427,1707.723068,2561.584603,2988.51537,3842.376904,4269.307671,71.96453136,107.946797,125.9379299,161.9201956,179.9113284,2220.774722,3331.162084,3886.355764,4996.743125,5551.936806,-2781.928711,-3616.507324
102,0,0,0,0,0,1660.430534,2490.645802,2905.753435,3735.968702,4151.076336,0,0,0,0,0,2167.200752,3250.801127,3792.601315,4876.201691,5418.001879,-2840.840803,-3693.093043
103,0,0,0,0,0,1603.712669,2405.569004,2806.497171,3608.353506,4009.281673,0,0,0,0,0,2101.308429,3151.962643,3677.28975,4727.943964,5253.271072,-2901.21835,-3771.583855
104,0,0,0,0,0,1536.269868,2304.404802,2688.472269,3456.607202,3840.674669,0,0,0,0,0,2021.138898,3031.708347,3536.993072,4547.562521,5052.847246,-2963.05684,-3851.973892
105,0,0,0,0,0,1456.703886,2185.055829,2549.231801,3277.583744,3641.759716,0,0,0,0,0,1924.544776,2886.817165,3367.953359,4330.225747,4811.361941,-3026.35056,-3934.255728
106,0,0,0,0,0,1363.513898,2045.270847,2386.149322,3067.906271,3408.784746,0,0,0,0,0,1809.180427,2713.77064,3166.065747,4070.65596,4522.951067,-3091.0926,-4018.42038
107,0,0,0,0,0,1255.092483,1882.638725,2196.411846,2823.958087,3137.731208,0,0,0,0,0,1672.492025,2508.738037,2926.861044,3763.107056,4181.230062,-3157.274852,-4104.457307
108,0,0,0,0,0,1129.721548,1694.582322,1977.012708,2541.873482,2824.303869,0,0,0,0,0,1511.707409,2267.561113,2645.487966,3401.34167,3779.268522,-3224.888009,-4192.354412
109,0,0,0,0,0,985.568179,1478.352269,1724.744313,2217.528403,2463.920448,0,0,0,0,0,1323.825716,1985.738575,2316.695004,2978.607862,3309.564291,-3293.921568,-4282.098038
110,0,0,0,0,0,820.6804314,1231.020647,1436.190755,1846.530971,2051.701078,0,0,0,0,0,1105.60681,1658.410214,1934.811917,2487.615322,2764.017024,-3364.363826,-4373.672974
111,0,0,0,0,0,632.9830442,949.4745663,1107.720327,1424.211849,1582.457611,0,0,0,0,0,853.5604867,1280.34073,1493.730852,1920.511095,2133.901217,-3436.201884,-4467.062449
112,0,0,0,0,0,420.2730934,630.4096401,735.4779134,945.6144601,1050.682733,0,0,0,0,0,563.9354799,845.9032199,986.8870899,1268.85483,1409.8387,-3509.421642,-4562.248135
113,0,0,0,0,0,180.2155747,270.323362,315.3772557,405.485043,450.5389367,0,0,0,0,0,232.7082409,349.0623613,407.2394215,523.593542,581.7706022,-3584.007805,-4659.210147
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3659.943879,-4757.927043
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3698.41265,-4807.936445
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3776.340042,-4909.242055
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3855.570868,-5012.242128
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3936.08444,-5116.909772
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4017.858873,-5223.216535
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4100.871083,-5331.132408
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4185.09679,-5440.625827
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4270.510513,-5551.663668
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4357.085576,-5664.211249
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4444.794103,-5778.232335
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4533.607021,-5893.689127
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4623.494058,-6010.542275
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4714.423744,-6128.750868
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4806.363413,-6248.272437
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4899.279198,-6369.062958
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4993.136037,-6491.076847
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5040.406066,-6552.527885
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5135.606119,-6676.287955
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5231.654325,-6801.150623
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5328.511428,-6927.064856
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
