BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMF15HS_DW10_TIMER_OFF.xlsx,,,,,,D: ,820,,B: ,JNR_DMF15HS_DW10_TIMER_ON.xlsx,,,,,,,
100,0.538542273,0.969376091,1.507918363,1.938752181,2.15416909,2.829232656,10.46511628,16.27906977,20.93023256,23.25581395,0.546152671,0.983074808,1.529227479,1.966149616,2.184610685,2.313663844,10.46511628,16.27906977,20.93023256,23.25581395,7.712212815,15.42442563
101,0.18418787,0.331538166,0.515726036,0.663076332,0.73675148,2.888884477,10.23103416,15.91494203,20.46206832,22.73563147,0.186790717,0.336223291,0.523014008,0.672446581,0.747162868,2.362445362,10.3756138,16.13984369,20.75122761,23.05691956,7.874817872,15.74963574
102,0,0,0,0,0,2.95006154,9.947702783,15.47420433,19.89540557,22.10600618,0,0,0,0,0,2.412474177,10.27316001,15.98047113,20.54632003,22.82924447,8.04158059,16.08316118
103,0,0,0,0,0,3.012760401,9.607903885,14.94562827,19.21580777,21.35089752,0,0,0,0,0,2.463747474,10.15502053,15.7966986,20.31004105,22.56671228,8.212491581,16.42498316
104,0,0,0,0,0,3.076976372,9.203851484,14.31710231,18.40770297,20.4530033,0,0,0,0,0,2.51626142,10.01810601,15.58372047,20.03621203,22.26245781,8.387538067,16.77507613
105,0,0,0,0,0,3.142703521,8.727168649,13.57559568,17.4543373,19.39370811,0,0,0,0,0,2.570011164,9.858950667,15.33614548,19.71790133,21.90877926,8.566703879,17.13340776
106,0,0,0,0,0,3.209934674,8.16886387,12.70712158,16.33772774,18.15303082,0,0,0,0,0,2.624990837,9.673690134,15.04796243,19.34738027,21.49708919,8.749969457,17.49993891
107,0,0,0,0,0,3.27866141,7.519307029,11.69669982,15.03861406,16.70957118,0,0,0,0,0,2.681193555,9.458038942,14.71250502,18.91607788,21.01786431,8.937311849,17.8746237
108,0,0,0,0,0,3.348874065,6.768204963,10.52831883,13.53640993,15.04045547,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.738611413,9.2072674,14.32241596,18.4145348,20.46059422,9.128704712,18.25740942
109,0,0,0,0,0,3.420561731,5.904576623,9.184896969,11.80915325,13.12128138,0,0,0,0,0,2.797235493,8.916177977,13.86961019,17.83235595,19.81372884,9.324118311,18.64823662
110,0,0,0,0,0,3.493712256,4.916727826,7.648243284,9.833455651,10.92606183,0,0,0,0,0,2.857055857,8.579081159,13.34523736,17.15816232,19.0646248,9.523519522,19.04703904
111,0,0,0,0,0,3.568312245,3.792225606,5.89901761,7.584451213,8.427168014,0,0,0,0,0,2.918061549,8.189770788,12.73964345,16.37954158,18.19949064,9.726871829,19.45374366
112,0,0,0,0,0,3.644347055,2.517872163,3.916690031,5.035744325,5.595271473,0,0,0,0,0,2.980240596,7.741498876,12.04233158,15.48299775,17.20333084,9.934135322,19.86827064
113,0,0,0,0,0,3.721800805,1.079678395,1.679499725,2.159356789,2.399285321,0,0,0,0,0,3.043580011,7.226949904,11.24192207,14.45389981,16.05988867,10.1452667,20.29053341
114,0,0,0,0,0,3.800656364,0,0,0,0,0,0,0,0,0,3.108065784,6.638214592,10.32611159,13.27642918,14.75158798,10.36021928,20.72043856
115,0,0,0,0,0,3.84060413,0,0,0,0,0,0,0,0,0,3.140733901,6.313386482,9.820823417,12.62677296,14.02974774,10.469113,20.938226
116,0,0,0,0,0,3.921527567,0,0,0,0,0,0,0,0,0,3.206910724,5.597176969,8.70671973,11.19435394,12.43817104,10.68970241,21.37940483
117,0,0,0,0,0,4.00380455,0,0,0,0,0,0,0,0,0,3.274194439,4.784233421,7.442140877,9.568466842,10.63162982,10.91398146,21.82796292
118,0,0,0,0,0,4.087413597,0,0,0,0,0,0,0,0,0,3.342567476,3.864354358,6.011217891,7.728708717,8.58745413,11.14189159,22.28378317
119,0,0,0,0,0,4.172331981,0,0,0,0,0,0,0,0,0,3.41201125,2.826620081,4.39696457,5.653240162,6.281377957,11.37337083,22.74674167
120,0,0,0,0,0,4.258535731,0,0,0,0,0,0,0,0,0,3.482506159,1.659363577,2.581232231,3.318727154,3.687474616,11.60835386,23.21670773
121,0,0,0,0,0,4.345999631,0,0,0,0,0,0,0,0,0,3.554031583,0.350140914,0.544663644,0.700281828,0.77809092,11.84677194,23.69354389
122,0,0,0,0,0,4.434697224,0,0,0,0,0,0,0,0,0,3.626565884,0,0,0,0,12.08855295,24.17710589
123,0,0,0,0,0,4.524600806,0,0,0,0,0,0,0,0,0,3.700086408,0,0,0,0,12.33362136,24.66724272
124,0,0,0,0,0,4.61568143,0,0,0,0,0,0,0,0,0,3.774569482,0,0,0,0,12.58189827,25.16379655
125,0,0,0,0,0,4.707908904,0,0,0,0,0,0,0,0,0,3.849990417,0,0,0,0,12.83330139,25.66660278
126,0,0,0,0,0,4.801251794,0,0,0,0,0,0,0,0,0,3.926323507,0,0,0,0,13.08774502,26.17549005
127,0,0,0,0,0,4.89567742,0,0,0,0,0,0,0,0,0,4.003542026,0,0,0,0,13.34514009,26.69028017
128,0,0,0,0,0,4.991151859,0,0,0,0,0,0,0,0,0,4.081618234,0,0,0,0,13.60539411,27.21078823
129,0,0,0,0,0,5.087639942,0,0,0,0,0,0,0,0,0,4.160523371,0,0,0,0,13.86841124,27.73682247
130,0,0,0,0,0,5.185105259,0,0,0,0,0,0,0,0,0,4.240227661,0,0,0,0,14.1340922,28.2681844
131,0,0,0,0,0,5.234192661,0,0,0,0,0,0,0,0,0,4.280369905,0,0,0,0,14.26789968,28.53579936
132,0,0,0,0,0,5.333052835,0,0,0,0,0,0,0,0,0,4.361214868,0,0,0,0,14.53738289,29.07476579
133,0,0,0,0,0,5.43279377,0,0,0,0,0,0,0,0,0,4.442780092,0,0,0,0,14.80926697,29.61853395
134,0,0,0,0,0,5.533374702,0,0,0,0,0,0,0,0,0,4.525032241,0,0,0,0,15.0834408,30.1668816
135,0,0,0,0,0,5.634753619,0,0,0,0,0,0,0,0,0,4.607936958,0,0,0,0,15.35978986,30.71957972
136,0,0,0,0,0,5.736887267,0,0,0,0,0,0,0,0,0,4.691458873,0,0,0,0,15.63819624,31.27639249
137,0,0,0,0,0,5.83973115,0,0,0,0,0,0,0,0,0,4.775561597,0,0,0,0,15.91853866,31.83707731
138,0,0,0,0,0,5.943239523,0,0,0,0,0,0,0,0,0,4.860207722,0,0,0,0,16.20069241,32.40138482
139,0,0,0,0,0,6.047365402,0,0,0,0,0,0,0,0,0,4.945358825,0,0,0,0,16.48452942,32.96905883
140,0,0,0,0,0,6.152060556,0,0,0,0,0,0,0,0,0,5.030975464,0,0,0,0,16.76991821,33.53983643
141,0,0,0,0,0,6.257275509,0,0,0,0,0,0,0,0,0,5.117017181,0,0,0,0,17.05672394,34.11344787
142,0,0,0,0,0,6.362959545,0,0,0,0,0,0,0,0,0,5.203442499,0,0,0,0,17.34480833,34.68961666
143,0,0,0,0,0,6.4690607,0,0,0,0,0,0,0,0,0,5.290208925,0,0,0,0,17.63402975,35.2680595
144,0,0,0,0,0,6.575525768,0,0,0,0,0,0,0,0,0,5.377272949,0,0,0,0,17.92424316,35.84848632
145,0,0,0,0,0,6.682300297,0,0,0,0,0,0,0,0,0,5.464590041,0,0,0,0,18.21530014,36.43060027
146,0,0,0,0,0,6.789328594,0,0,0,0,0,0,0,0,0,5.552114656,0,0,0,0,18.50704885,37.01409771
147,0,0,0,0,0,6.84292016,0,0,0,0,0,0,0,0,0,5.595940274,0,0,0,0,18.65313425,37.30626849
148,0,0,0,0,0,6.950221958,0,0,0,0,0,0,0,0,0,5.68368855,0,0,0,0,18.9456285,37.891257
149,0,0,0,0,0,7.057632843,0,0,0,0,0,0,0,0,0,5.771526035,0,0,0,0,19.23842012,38.47684024
150,0,0,0,0,0,7.165092766,0,0,0,0,0,0,0,0,0,5.859403622,0,0,0,0,19.53134541,39.06269082
151,0,0,0,0,0,7.272540434,0,0,0,0,0,0,0,0,0,5.947271187,0,0,0,0,19.82423729,39.64847458
152,0,0,0,0,0,7.379913309,0,0,0,0,0,0,0,0,0,6.035077589,0,0,0,0,20.1169253,40.2338506
153,0,0,0,0,0,7.487147611,0,0,0,0,0,0,0,0,0,6.12277067,0,0,0,0,20.40923557,40.81847113
154,0,0,0,0,0,7.594178314,0,0,0,0,0,0,0,0,0,6.210297253,0,0,0,0,20.70099084,41.40198169
155,0,0,0,0,0,7.700939148,0,0,0,0,0,0,0,0,0,6.297603145,0,0,0,0,20.99201048,41.98402097
156,0,0,0,0,0,7.700939148,0,0,0,0,0,0,0,0,0,6.297603145,0,0,0,0,20.99201048,41.98402097
157,0,0,0,0,0,7.700939148,0,0,0,0,0,0,0,0,0,6.297603145,0,0,0,0,20.99201048,41.98402097
158,0,0,0,0,0,7.700939148,0,0,0,0,0,0,0,0,0,6.297603145,0,0,0,0,20.99201048,41.98402097
159,0,0,0,0,0,7.700939148,0,0,0,0,0,0,0,0,0,6.297603145,0,0,0,0,20.99201048,41.98402097
160,0,0,0,0,0,7.700939148,0,0,0,0,0,0,0,0,0,6.297603145,0,0,0,0,20.99201048,41.98402097
